Seed_ID,Seed_Weight (mg),Seed_Size (mm),Seed_Color,Moisture_Content (%),Genetic_Marker_1,Genetic_Marker_2,Soil_pH,Temperature (°C),Humidity (%),Germination_Rate (%),Seed_Quality
S01685,3.49,1.84,Light,9.74,0,1,7.45,21,71,79,Medium
S01686,3.01,1.74,Medium,9.64,1,0,7.28,20,53,66,Medium
S01687,3.27,1.79,Light,9.38,1,1,7.39,28,54,65,Low
S01688,2.62,1.63,Dark,9.74,0,0,6.97,27,78,69,Medium
S01689,3.37,1.84,Dark,9.03,0,1,6.51,24,76,78,Medium
S01690,2.7,2.52,Dark,7.64,0,0,7.28,29,53,53,Low
S01691,3.09,2.91,Medium,8.04,0,0,6.07,27,59,71,Medium
S01692,2.07,1.99,Dark,7.28,1,0,7.06,28,58,85,Medium
S01693,2.28,1.52,Medium,9.08,0,1,7.3,23,66,63,Low
S01694,3.19,2.11,Light,8.17,0,0,6.6,20,61,70,Medium
S01695,3.13,2.74,Dark,7.63,0,1,6.19,29,52,90,High
S01696,2.13,1.85,Medium,8.69,0,0,7.18,25,51,73,Medium
S01697,2.16,2.69,Medium,7.18,0,0,6.97,33,66,55,Low
S01698,2.22,2.8,Light,9.3,0,1,6.52,24,61,64,Low
S01699,3.47,2.95,Dark,9.9,1,1,6.68,34,58,88,High
S01700,3.4,2.69,Medium,8.52,0,0,6.28,33,51,68,Medium
S01701,2.95,1.89,Light,8.62,1,0,7.31,27,50,50,Low
S01702,2.16,2.97,Dark,9.51,1,1,7.39,22,51,79,Medium
S01703,2.94,2.72,Dark,7.48,0,1,6.11,24,73,88,High
S01704,3.15,2.97,Medium,9.13,1,0,6.08,31,72,75,Medium
S01705,2.62,2.74,Dark,8.07,1,1,7.21,20,52,73,Medium
S01706,3.45,2.95,Dark,9.44,0,1,6.38,30,62,78,Medium
S01707,2.41,1.92,Medium,7.74,0,0,6.36,20,66,82,Medium
S01708,2.45,2.59,Light,8.72,1,1,7.46,32,79,95,High
S01709,2.12,2.69,Medium,9.16,1,1,6.12,34,71,56,Low
S01710,3.28,2.46,Light,8.63,1,0,6.62,31,58,91,High
S01711,3.33,1.76,Dark,7.61,0,0,6.07,25,61,72,Medium
S01712,2.54,1.75,Medium,8.13,1,1,7.38,31,55,51,Low
S01713,3.1,1.89,Medium,9.83,0,1,6.41,28,65,51,Low
S01714,3.31,1.51,Medium,9.38,0,1,7.32,34,56,99,High
S01715,2.71,2.14,Medium,9.46,0,1,6.78,32,51,51,Low
S01716,2.34,2.04,Light,8.39,1,1,6.36,31,71,62,Low
S01717,2.87,1.62,Dark,9.62,1,1,7.29,23,71,71,Medium
S01718,2.52,2.78,Dark,7.54,0,0,7.06,20,60,63,Low
S01719,3,1.91,Light,9.2,1,0,6.26,21,67,92,High
S01720,2.3,2.65,Dark,8.98,1,0,7.25,28,74,93,High
S01721,2.81,2.4,Dark,7.78,1,1,6.58,20,66,86,High
S01722,3.27,2.67,Light,8.02,0,0,6.41,23,60,55,Low
S01723,2.94,2.57,Medium,9.46,0,0,6.83,20,54,78,Medium
S01724,2.89,2.58,Light,9.83,0,0,7.34,26,60,97,High
S01725,2,2.8,Medium,8.95,1,1,6.59,20,71,81,Medium
S01726,3.33,2.49,Light,9.67,1,0,7.13,24,57,65,Low
S01727,2.62,2.08,Light,7.88,1,0,6.58,28,77,54,Low
S01728,3.33,1.91,Light,8.5,1,0,6.89,35,60,62,Low
S01729,2.11,2.29,Light,7.38,0,1,6.38,32,52,66,Medium
S01730,2.06,2.92,Light,7.22,1,0,6.09,30,68,95,High
S01731,2.87,2.17,Light,8.2,0,1,7.34,22,73,86,High
S01732,3.02,2.67,Dark,8.08,1,1,7.19,21,74,74,Medium
S01733,2.94,2.21,Light,9.29,1,1,6.42,35,57,50,Low
S01734,2.78,2.79,Dark,8.47,0,0,6.02,25,80,80,Medium
S01735,3.41,2.15,Medium,9.69,0,1,6.85,25,76,56,Low
S01736,2.23,2.94,Medium,8.03,0,1,6.46,34,59,69,Medium
S01737,2.59,2.27,Dark,7.55,1,0,6.93,34,79,54,Low
S01738,2.21,1.51,Light,9.34,1,0,7.02,29,58,52,Low
S01739,3.47,2.38,Medium,7.05,0,1,7.26,23,55,74,Medium
S01740,2.92,1.63,Light,7.22,0,0,6.58,28,79,100,High
S01741,2.52,2.4,Light,9.26,0,1,6.29,35,60,80,Medium
S01742,3.16,2.68,Light,9.41,1,0,6.9,29,64,84,Medium
S01743,2.12,1.99,Dark,9.54,0,0,6.98,35,61,63,Low
S01744,2.22,1.97,Light,9.4,1,0,6.87,31,65,87,High
S01745,2.94,2.71,Dark,8.46,1,1,7.35,20,64,76,Medium
S01746,3.09,2.99,Light,7.85,0,0,6.64,31,78,81,Medium
S01747,3.08,1.88,Dark,8.05,0,0,6.06,32,70,90,High
S01748,3.31,1.84,Medium,8.7,0,1,6.31,27,57,80,Medium
S01749,2.32,2.26,Dark,8.8,1,1,7.47,21,51,81,Medium
S01750,2.51,2.91,Light,8.44,1,0,6.41,34,63,97,High
S01751,2.76,1.65,Light,9.04,1,1,6.08,35,75,50,Low
S01752,3.15,1.54,Medium,7.16,0,1,7.08,29,72,77,Medium
S01753,3.22,2.3,Light,7.02,0,0,6.26,33,56,58,Low
S01754,2.44,2.82,Medium,7.55,1,0,6.26,24,74,88,High
S01755,2.66,1.51,Light,9.89,0,1,7.1,32,67,56,Low
S01756,2.49,2.24,Light,9.38,1,1,6.57,24,51,52,Low
S01757,3.3,2.97,Medium,9.84,1,0,7.32,31,61,60,Low
S01758,3.31,1.61,Dark,9.91,0,1,6.81,21,53,58,Low
S01759,2.13,2.08,Light,9.07,1,1,7.02,29,74,72,Medium
S01760,2.21,1.51,Light,7.89,0,1,6.9,32,59,76,Medium
S01761,2.68,2.68,Dark,9.07,0,1,6.42,33,67,78,Medium
S01762,3.07,2.36,Light,7.37,0,0,7.16,26,50,87,High
S01763,2.19,2.66,Dark,9.76,0,0,6.86,33,73,53,Low
S01764,2.07,2.66,Medium,7.89,0,0,7.19,33,62,56,Low
S01765,2.62,1.64,Light,9.39,1,0,7.47,20,70,69,Medium
S01766,2.3,1.75,Medium,9.03,0,0,7.13,23,65,75,Medium
S01767,2.83,2.04,Dark,7.92,0,1,7.18,26,78,59,Low
S01768,2.98,2.27,Light,8.66,1,0,6.73,31,63,55,Low
S01769,2.11,1.75,Medium,7.81,0,1,6.87,20,53,57,Low
S01770,2.71,1.93,Dark,8.41,0,1,7.3,22,50,81,Medium
S01771,2.69,2.29,Light,9.45,0,0,7.47,35,58,54,Low
S01772,3.27,2.58,Light,8.13,0,0,6.53,35,67,59,Low
S01773,2.65,1.71,Medium,9.04,1,1,7.49,28,53,99,High
S01774,3.11,2.48,Light,7.73,0,0,6.44,26,63,65,Low
S01775,2.7,1.73,Dark,9.53,0,0,6.02,21,77,73,Medium
S01776,3.01,2.63,Light,9.59,1,1,7.33,23,66,64,Low
S01777,3.34,2.54,Dark,8.4,1,0,6.95,22,51,74,Medium
S01778,2.58,2.49,Dark,8.39,1,0,6.03,33,80,67,Medium
S01779,2.7,1.54,Light,7.22,0,1,7,28,56,77,Medium
S01780,2.71,2.36,Light,8.71,0,0,6.03,21,57,66,Medium
S01781,2.95,2.05,Dark,8.38,0,1,6.1,21,61,58,Low
S01782,2.04,2.16,Light,7.86,1,0,6.56,32,72,64,Low
S01783,2.77,2.63,Dark,8.69,1,1,6.47,35,56,98,High
S01784,2.28,2.64,Medium,8.36,1,0,7.15,33,56,92,High
S01785,2.65,2.18,Medium,8.57,0,0,7.24,29,54,57,Low
S01786,2.09,1.74,Dark,8.6,1,0,7.14,29,80,63,Low
S01787,2.31,2.84,Light,8.1,1,1,7.11,25,79,51,Low
S01788,3.18,2.27,Medium,9.57,1,1,6.56,27,72,76,Medium
S01789,2.16,2.84,Light,8.49,0,1,6.57,24,58,58,Low
S01790,2.53,2.67,Dark,9.14,0,1,6.56,21,64,58,Low
S01791,3.38,2.4,Medium,8.91,0,0,6.62,22,73,84,Medium
S01792,2.38,2.15,Dark,9.18,1,1,6.02,35,55,61,Low
S01793,2.41,2.69,Medium,7.18,0,0,6.95,22,50,83,Medium
S01794,3.41,1.62,Medium,7.37,1,1,6.94,35,54,65,Low
S01795,2.97,2.05,Light,9.2,0,0,7.45,33,58,80,Medium
S01796,2.16,2.89,Medium,8.98,1,1,6.32,25,54,74,Medium
S01797,3.17,2.32,Light,7.89,0,0,6.67,20,57,85,Medium
S01798,2.25,3,Medium,7.64,0,0,6.2,22,59,54,Low
S01799,2.67,2.91,Dark,8.73,1,0,7.47,35,62,50,Low
S01800,2.7,1.91,Light,7.9,1,1,6.43,23,65,85,Medium
S01801,3.08,2.9,Medium,7.82,1,0,6.48,27,74,77,Medium
S01802,3.01,1.58,Light,8.92,1,0,7.37,26,71,92,High
S01803,3.02,2.65,Dark,7.5,0,1,7.1,22,55,50,Low
S01804,2.67,1.79,Light,9.96,1,1,6.33,33,60,84,Medium
S01805,3.48,1.83,Dark,7.27,1,0,6.75,20,77,93,High
S01806,2.29,1.52,Dark,8.53,0,1,6.27,26,72,91,High
S01807,2.99,2.13,Dark,7.74,1,1,6.7,23,68,57,Low
S01808,3.27,2.96,Medium,9.62,0,0,6.25,27,54,93,High
S01809,2.7,2.52,Light,9.98,0,1,6.92,22,59,64,Low
S01810,2.48,2.71,Dark,9.9,1,1,6.65,28,73,89,High
S01811,2.01,2.25,Dark,7.69,0,0,7,24,51,88,High
S01812,2.56,2.77,Dark,7.53,1,0,6.77,35,51,97,High
S01813,2.23,2.87,Dark,7.82,0,0,7.33,34,72,96,High
S01814,2.58,2.92,Dark,8.15,1,0,6.28,33,63,85,Medium
S01815,2.65,1.74,Medium,7.16,0,0,6.76,28,54,51,Low
S01816,2.66,2.15,Medium,7.05,1,0,6.46,32,56,92,High
S01817,3.46,2.38,Dark,7.34,1,1,6.55,32,67,96,High
S01818,3.16,2.55,Light,8.61,0,0,7.36,31,53,76,Medium
S01819,2.15,2.12,Light,7.31,1,0,6.85,31,71,90,High
S01820,2.13,2.85,Light,7.51,0,1,7.41,20,54,70,Medium
S01821,3.11,1.66,Light,9.89,1,0,6.23,22,77,86,High
S01822,3.1,2.81,Medium,8.5,1,1,6.14,30,66,83,Medium
S01823,3.46,2.35,Dark,9.01,1,1,6.01,29,61,63,Low
S01824,2.42,2.45,Dark,9.38,1,0,7.24,21,53,92,High
S01825,2.47,2.95,Dark,8.36,0,0,6.25,34,66,80,Medium
S01826,2.92,2.71,Dark,7.54,1,0,6.13,21,52,93,High
S01827,2.88,1.72,Medium,7.74,0,1,6.66,25,66,100,High
S01828,3.43,2.13,Medium,9.41,1,1,6.43,22,78,74,Medium
S01829,3.13,1.86,Dark,7.34,1,1,6.83,26,74,78,Medium
S01830,2.64,2.48,Medium,9.09,0,1,7.08,33,71,97,High
S01831,2.9,1.68,Medium,8.4,1,1,6.63,20,72,78,Medium
S01832,2.68,2.82,Medium,8.92,0,1,7.17,33,63,62,Low
S01833,2.24,2.33,Medium,9.32,1,0,6.72,25,51,81,Medium
S01834,3.05,1.63,Light,9.77,0,0,7.44,31,69,93,High
S01835,2.12,2.27,Light,9.99,1,0,7.18,30,63,63,Low
S01836,2.63,2.46,Light,8.3,0,1,7.43,30,71,96,High
S01837,2.73,2.97,Light,9.77,1,0,6.72,30,70,76,Medium
S01838,2.13,1.55,Light,8.86,0,0,6.86,31,63,74,Medium
S01839,2.85,1.95,Light,7.3,1,0,6.51,20,61,55,Low
S01840,2.1,1.58,Medium,7.64,1,1,6.56,23,65,51,Low
S01841,3.49,2.08,Dark,9.81,1,1,6.94,33,77,59,Low
S01842,3.37,1.9,Dark,8.2,1,1,6.87,21,56,99,High
S01843,2.11,2.55,Light,9.69,1,1,6.78,34,50,85,Medium
S01844,2.71,2.87,Dark,8.69,1,0,6.36,32,60,90,High
S01845,2.38,1.59,Light,9.82,0,0,6.06,21,63,58,Low
S01846,2.15,1.74,Medium,7.82,0,1,6.81,26,69,95,High
S01847,2.59,2.29,Medium,7.19,0,0,7.03,22,78,50,Low
S01848,2.2,1.55,Medium,9.38,0,1,6.12,29,76,76,Medium
S01849,3.06,2.51,Dark,9.71,0,0,7.48,27,65,74,Medium
S01850,3.2,2.15,Medium,7.2,0,0,7.21,32,77,78,Medium
S01851,3.42,2.7,Dark,9.11,0,1,7.27,20,74,56,Low
S01852,2.8,2.56,Medium,8.31,0,0,7,34,67,98,High
S01853,2.26,1.82,Medium,7.76,0,0,6.49,21,52,77,Medium
S01854,2.31,2.76,Dark,9.91,1,0,7.33,35,63,63,Low
S01855,2.65,2.48,Medium,7.05,1,1,6.8,24,77,69,Medium
S01856,2.83,2.43,Dark,7.05,1,0,7.11,21,59,57,Low
S01857,2.97,1.58,Light,9.21,1,0,6.07,25,80,97,High
S01858,2.9,1.84,Medium,7.05,0,1,6.88,29,73,95,High
S01859,2.55,2.73,Dark,7.48,0,0,6.72,32,58,91,High
S01860,3.21,1.96,Dark,8.9,0,1,6.08,32,66,96,High
S01861,2.04,2.19,Light,7.29,1,1,6.45,23,79,63,Low
S01862,2.39,1.99,Medium,9.97,1,1,7.37,22,77,86,High
S01863,3.13,2.81,Light,9.14,1,1,6.2,35,80,51,Low
S01864,3.4,2.18,Light,7.22,1,1,6.71,23,68,67,Medium
S01865,2.49,2.87,Light,9.6,0,0,7.01,34,66,65,Low
S01866,3.24,2.49,Light,7.4,0,0,6.91,22,56,63,Low
S01867,2.33,2.46,Medium,8.94,1,1,6.01,30,55,86,High
S01868,3.35,2.56,Medium,8.76,1,1,6.31,28,50,65,Low
S01869,3.5,2.43,Dark,9.32,0,1,6.11,32,69,56,Low
S01870,2.19,2.74,Medium,9.74,0,0,6.42,23,75,72,Medium
S01871,2.28,2.05,Dark,8.81,1,0,6.85,23,73,79,Medium
S01872,3.28,1.59,Light,7.91,1,1,6.46,33,74,54,Low
S01873,3.09,2.93,Medium,7.37,1,0,6.97,26,58,70,Medium
S01874,3.32,2.6,Light,8.69,0,1,6.85,31,56,82,Medium
S01875,2.06,2.47,Medium,8.43,1,1,6.8,26,79,78,Medium
S01876,2.34,2.12,Medium,7.54,1,1,6.37,31,67,100,High
S01877,2.87,1.95,Light,9.99,0,1,6.42,32,77,64,Low
S01878,3.35,2.7,Medium,9.47,0,0,6.02,26,75,60,Low
S01879,2.65,2.59,Dark,7.65,0,0,6.48,27,78,97,High
S01880,3.06,2.54,Dark,7.67,1,1,6.5,32,74,57,Low
S01881,3.45,2.84,Dark,8.95,1,1,6.46,23,52,74,Medium
S01882,2.6,2.33,Medium,9.01,1,1,7.4,22,65,82,Medium
S01883,2.59,1.6,Dark,7.52,1,0,6.97,26,66,86,High
S01884,3.47,1.94,Dark,8.46,0,0,6.27,30,68,52,Low
S01885,2.53,2.2,Light,9.26,0,0,6.67,35,79,80,Medium
S01886,2.13,2.69,Medium,9.36,0,1,6.07,29,67,81,Medium
S01887,3.35,1.72,Medium,8.66,0,1,6.87,25,63,89,High
S01888,2.72,1.59,Light,9.8,0,0,6.57,26,68,71,Medium
S01889,2.24,2.63,Medium,7.61,0,1,6.95,29,59,56,Low
S01890,2.5,2.56,Medium,7.83,1,0,7.06,25,52,100,High
S01891,2.3,1.97,Light,8.34,0,1,6.61,24,66,87,High
S01892,3.5,2.69,Medium,7.66,0,1,7.29,29,66,91,High
S01893,3.43,2.62,Light,9.15,1,1,6.69,31,70,57,Low
S01894,2.63,2.46,Light,8.9,1,1,6.16,31,73,79,Medium
S01895,2,1.65,Light,8.83,0,0,7.07,23,70,92,High
S01896,3.35,2.27,Dark,7.68,1,1,6.64,21,56,84,Medium
S01897,2.78,1.77,Dark,8.35,1,0,6.5,28,80,50,Low
S01898,2.17,2.09,Light,8.39,0,1,6.08,23,77,62,Low
S01899,3.03,2.73,Light,8.38,1,0,6.32,30,64,63,Low
S01900,2.85,2.13,Light,9.65,1,0,6.51,33,68,59,Low
S01901,2.5,2.71,Dark,8.26,0,1,7.16,22,63,100,High
S01902,2.95,2.01,Medium,7.7,1,0,6.07,33,52,97,High
S01903,2.65,2.37,Dark,9.74,0,1,6.19,31,56,96,High
S01904,2.86,1.52,Light,9.8,1,1,7.04,27,76,96,High
S01905,2.13,2.79,Light,7.35,0,1,6.98,31,78,96,High
S01906,3.21,2.75,Medium,8.24,0,0,7.15,27,52,72,Medium
S01907,2.88,1.92,Dark,8.69,0,1,6.65,28,68,72,Medium
S01908,2.71,2.42,Medium,8.19,0,0,6.58,27,74,84,Medium
S01909,2.68,2.91,Light,7.04,1,0,7.25,35,65,60,Low
S01910,2.09,2.08,Light,7.11,1,1,6.14,31,68,88,High
S01911,2.04,2.12,Dark,7.28,1,0,6.69,20,53,60,Low
S01912,2.3,2.76,Light,9.75,0,1,7.28,29,59,81,Medium
S01913,3.29,2.23,Light,7.58,0,1,7.42,32,55,73,Medium
S01914,2.16,1.87,Dark,8.02,0,0,6.39,25,70,76,Medium
S01915,3.04,2.15,Medium,7.6,1,1,6.39,22,70,99,High
S01916,2.38,1.87,Light,9.34,0,1,6.31,35,73,66,Medium
S01917,3.44,2.28,Dark,8.5,1,0,6.34,27,50,73,Medium
S01918,3.42,2.63,Light,8.24,1,0,6.56,29,76,84,Medium
S01919,3.18,1.54,Dark,9.19,0,1,6.36,25,73,82,Medium
S01920,3.23,2.25,Dark,8.82,0,0,6.76,28,67,70,Medium
S01921,2.94,2.63,Light,9.5,0,0,7.26,25,56,63,Low
S01922,2.19,2.48,Dark,8.87,0,0,6.22,34,75,86,High
S01923,2.59,1.67,Medium,7.12,1,1,6.13,33,73,68,Medium
S01924,2.83,1.65,Dark,9.39,1,0,6.18,30,64,80,Medium
S01925,2.46,2.99,Light,9.26,0,0,7.32,26,73,92,High
S01926,2.14,2.86,Dark,7.21,0,0,6.16,23,77,89,High
S01927,2.07,1.88,Dark,9.18,0,1,6.24,30,69,68,Medium
S01928,2.19,2.5,Light,9.36,1,0,7.4,29,76,57,Low
S01929,2.83,2.66,Medium,9.05,1,1,7.34,32,53,70,Medium
S01930,2.84,2.02,Light,7.45,0,0,7.09,23,53,99,High
S01931,3.27,2.16,Medium,7.86,0,0,7.32,29,80,97,High
S01932,3.03,2.74,Medium,7.09,1,0,6.71,30,59,61,Low
S01933,2.26,2.41,Light,9.87,0,1,7.26,34,70,79,Medium
S01934,3.38,2.39,Medium,8.85,0,0,6.11,23,54,71,Medium
S01935,2.38,1.83,Light,7.8,1,0,6.28,20,52,65,Low
S01936,2.63,2.98,Light,8.78,0,1,6.89,26,51,70,Medium
S01937,2.83,1.78,Medium,9.56,1,1,6.27,21,65,98,High
S01938,2.88,2.99,Dark,7.8,0,1,7.2,22,75,50,Low
S01939,3.06,2.91,Medium,7.44,0,0,7.42,22,59,75,Medium
S01940,2.77,2.16,Light,7.09,0,0,6.77,27,68,76,Medium
S01941,3.08,2.35,Light,7.38,0,1,6.36,35,79,93,High
S01942,2.06,1.89,Medium,8.98,1,1,6.46,24,80,97,High
S01943,3.43,1.55,Light,7.46,0,1,6.22,26,77,70,Medium
S01944,2.36,2.96,Dark,7.92,1,0,6.9,26,78,95,High
S01945,2.95,2.81,Light,7.27,0,1,6.09,21,70,66,Medium
S01946,2.54,2.41,Light,8.23,0,0,6.49,30,50,88,High
S01947,2.28,2.22,Dark,7.33,1,1,6.95,24,58,82,Medium
S01948,3.2,2.77,Dark,9.86,1,1,6.46,23,54,91,High
S01949,2.5,1.86,Light,8.59,1,0,7.1,30,69,75,Medium
S01950,3.3,2.05,Dark,8.35,1,1,7.2,22,58,99,High
S01951,3.49,2.47,Dark,7.46,0,1,7.1,23,73,75,Medium
S01952,2.11,2.2,Dark,8.35,0,0,7.18,32,80,54,Low
S01953,2.78,2.66,Medium,7.35,1,1,6.67,28,73,85,Medium
S01954,2.72,1.6,Medium,8.7,0,0,6.19,29,78,100,High
S01955,2.27,2,Light,9.07,0,0,6.78,35,61,97,High
S01956,2.33,2.08,Dark,8.53,0,0,6.71,24,50,66,Medium
S01957,2.41,2.85,Dark,7.79,1,1,7.11,31,50,62,Low
S01958,2.31,2.87,Dark,9.88,0,0,7.3,20,58,91,High
S01959,3.49,1.63,Medium,8.75,1,1,7.39,29,65,73,Medium
S01960,2.33,2.82,Medium,7.05,1,0,6.87,23,52,82,Medium
S01961,2.16,2.1,Dark,9.33,1,1,7.26,27,75,63,Low
S01962,3.39,2.73,Dark,8.71,0,0,7.06,24,73,82,Medium
S01963,2.01,2,Dark,9.61,1,0,6.73,21,51,91,High
S01964,2.93,1.91,Medium,9.53,0,1,7.05,32,56,92,High
S01965,3.48,1.62,Light,7.4,1,1,6.55,30,65,74,Medium
S01966,2.67,2.8,Dark,7.95,0,0,6.57,26,67,85,Medium
S01967,2.52,1.68,Dark,9.9,1,0,6.62,33,77,87,High
S01968,2.42,1.62,Light,7.88,0,0,7.19,32,70,68,Medium
S01969,2.25,1.55,Medium,9.09,0,0,6.57,27,77,79,Medium
S01970,2.12,2.79,Light,9.96,0,0,7.45,29,70,62,Low
S01971,2.25,2.11,Dark,8.87,0,0,7.11,34,69,62,Low
S01972,2.8,2.12,Light,7.56,1,0,7.46,33,56,94,High
S01973,2.95,2.38,Medium,8.12,1,0,7.4,20,72,64,Low
S01974,3,2.57,Dark,9.87,1,0,6.17,26,60,96,High
S01975,3.17,1.57,Light,8.92,0,1,7.3,28,67,99,High
S01976,2.39,2.54,Light,8.47,0,1,7.03,32,62,84,Medium
S01977,2.85,2.89,Dark,7.54,0,1,6.27,20,79,88,High
S01978,2.05,2.18,Dark,7.83,1,0,6.95,35,52,82,Medium
S01979,2.43,1.65,Light,7.54,1,0,6.16,31,78,75,Medium
S01980,2.66,2.41,Dark,8.75,0,0,7.24,27,50,52,Low
S01981,2.79,2.84,Medium,8.71,0,1,7.41,26,67,81,Medium
S01982,2.66,2.72,Dark,8.26,0,0,6.65,30,51,56,Low
S01983,3.27,2.18,Medium,7.61,1,1,7.17,28,76,96,High
S01984,2.07,2.31,Medium,8.47,1,1,6.59,20,52,65,Low
S01985,2.37,1.83,Medium,7.64,0,1,6.31,29,59,81,Medium
S01986,2.23,2.84,Medium,8.78,1,1,7.5,34,71,87,High
S01987,3.1,2.05,Light,9.93,0,1,6.62,24,66,55,Low
S01988,2.41,2.4,Medium,7.26,1,1,6.49,30,78,68,Medium
S01989,2.09,1.92,Light,9.45,0,0,6.67,26,67,77,Medium
S01990,3.2,1.55,Dark,7.96,1,0,6.1,21,57,69,Medium
S01991,2.23,2.2,Medium,8,0,1,7.1,33,50,76,Medium
S01992,2.22,2.45,Dark,8.98,0,0,6.68,33,51,71,Medium
S01993,2.31,2.32,Light,7.82,0,0,6.5,26,71,52,Low
S01994,2.51,1.9,Medium,8.02,1,1,6.55,28,62,97,High
S01995,2.35,2.75,Light,8.38,0,1,6.85,32,69,83,Medium
S01996,2.13,1.94,Light,8.91,1,0,6.25,31,54,73,Medium
S01997,2.46,2.3,Medium,8.43,1,1,6.31,32,56,99,High
S01998,2.32,2.89,Light,8.22,1,1,7.08,20,64,61,Low
S01999,3.14,2.42,Medium,9.95,0,0,7.04,29,80,92,High
S02000,3.32,2.08,Medium,9.39,0,1,6.43,20,64,97,High
S02001,3.17,2.07,Medium,8.75,0,1,6.99,32,72,85,Medium
S02002,2.54,2.3,Medium,8.48,0,0,7.2,22,65,56,Low
S02003,2.02,1.63,Medium,9.05,1,0,6.96,20,68,68,Medium
S02004,2.66,2.66,Dark,7.06,1,1,7.17,34,59,69,Medium
S02005,3.07,2.18,Medium,9.31,0,0,6.53,25,63,90,High
S02006,3.45,1.58,Light,7.62,0,1,6.9,31,52,62,Low
S02007,2.42,1.62,Medium,8.48,0,0,6.32,23,80,80,Medium
S02008,3.04,1.77,Dark,7.06,1,1,7.22,32,54,87,High
S02009,2.42,2.08,Dark,7.65,1,1,6.2,33,64,100,High
S02010,2.92,1.75,Dark,8.31,1,0,6.6,23,78,50,Low
S02011,3.31,2.45,Medium,7.54,1,1,6.52,23,76,99,High
S02012,2.27,2.7,Dark,9.98,1,1,7.34,22,61,52,Low
S02013,2.45,1.7,Light,8.83,1,1,6.88,26,80,57,Low
S02014,3.31,2.58,Light,7.64,0,0,6.08,34,74,92,High
S02015,3.16,2.06,Dark,8.33,1,0,7.32,24,55,98,High
S02016,2.37,2.48,Medium,7.31,1,1,6.97,31,54,74,Medium
S02017,2.01,1.68,Medium,9.19,1,1,6.49,29,58,97,High
S02018,3.24,2.49,Medium,9.85,1,0,7.2,30,78,90,High
S02019,2.96,2.71,Medium,9.55,1,0,7.21,25,50,80,Medium
S02020,3.22,2.87,Light,9.83,1,1,6.25,32,52,90,High
S02021,2.26,2.27,Medium,9.79,0,0,7.06,26,77,50,Low
S02022,2.22,2.26,Dark,7.35,0,0,6.45,29,79,77,Medium
S02023,2.6,1.95,Light,7.08,0,0,6.23,26,55,80,Medium
S02024,2.84,1.72,Medium,8.24,0,1,6.22,26,50,70,Medium
S02025,2.94,2.35,Dark,9.76,1,0,6.06,28,74,52,Low
S02026,2.69,1.69,Dark,7.86,1,1,6.47,33,75,69,Medium
S02027,2.61,2.83,Light,8.19,0,1,6.42,20,56,53,Low
S02028,3.47,1.83,Light,7.44,1,1,6.25,24,79,59,Low
S02029,3,2.02,Dark,7.57,1,0,6.52,27,72,70,Medium
S02030,2.72,2.85,Medium,8.08,0,0,6.27,22,77,83,Medium
S02031,3,2.72,Dark,8.25,0,0,7.41,35,74,73,Medium
S02032,2.02,2.62,Dark,9.63,0,0,6.52,29,52,73,Medium
S02033,2.6,2.14,Light,7.67,0,0,6.62,27,79,67,Medium
S02034,2.23,1.58,Light,7.85,0,0,6.31,21,50,92,High
S02035,2.71,1.67,Medium,9.04,1,0,6.86,24,57,95,High
S02036,2.25,1.95,Light,8.52,1,1,7.41,20,64,87,High
S02037,2.27,1.59,Dark,8.4,0,0,6.98,26,56,99,High
S02038,2.97,1.63,Medium,9.56,0,0,6.61,21,53,88,High
S02039,2.68,2.34,Medium,8.32,0,0,7.47,23,78,74,Medium
S02040,3.07,1.9,Dark,8.04,1,0,7.22,32,57,64,Low
S02041,2.81,1.61,Dark,8.89,1,0,7.19,21,67,65,Low
S02042,2.66,1.73,Medium,8.2,0,1,6.6,20,79,96,High
S02043,3.19,1.64,Dark,7.22,0,0,6.57,22,59,84,Medium
S02044,3.45,2.54,Light,9.52,1,0,7.37,31,51,56,Low
S02045,2.59,2.83,Medium,7.39,0,1,6.39,26,54,72,Medium
S02046,2.95,2.07,Medium,7.84,1,1,6.14,35,68,75,Medium
S02047,3.1,1.75,Medium,8.09,1,1,6.04,26,69,79,Medium
S02048,2.05,2.2,Dark,9.79,1,0,6.89,26,74,68,Medium
S02049,2.6,2.5,Dark,7.27,1,0,6.72,21,52,67,Medium
S02050,3.19,2.58,Medium,7.28,1,0,6.16,25,73,73,Medium
S02051,2.08,2.53,Dark,9.52,1,0,6.36,25,57,63,Low
S02052,3,2.34,Light,7.03,0,0,7.46,23,62,82,Medium
S02053,2.48,1.84,Dark,9.97,0,0,6.36,32,51,76,Medium
S02054,2.51,2.15,Light,7.91,1,1,6.91,25,55,51,Low
S02055,3.03,2.66,Medium,7.4,0,1,6.95,34,64,95,High
S02056,3.18,2.45,Medium,8.04,1,1,6.2,33,62,60,Low
S02057,2.66,1.76,Dark,7.11,0,0,6.93,27,54,58,Low
S02058,3.32,2.97,Dark,7.26,1,0,7.05,27,59,57,Low
S02059,2.86,1.82,Medium,7.14,1,0,7.14,33,65,52,Low
S02060,2.95,2.49,Medium,8.77,0,1,7.41,31,62,56,Low
S02061,2.13,2.13,Dark,7.87,1,1,7.37,31,80,61,Low
S02062,3.19,2.51,Medium,9.27,0,1,7.12,28,57,56,Low
